SOURCE;QAM_COD;DCR_SEGMENT_CE_LIB;CLASSE_TAILLE;PORT_EXP_COD;PORT_EXP_LIB;METIER_DCF_5_COD;METIER_DCF_5_LIB;NIV_SECTEUR_COD;SECTEUR_COD;TRIMESTRE;ANNEE;RG_COD;NB_NAVIRES;EFFECTIF_NAVIRE_MOY;NAVP_JAUGE_GT_MOY;NAVP_PUISSANCE_AD_MOY;NB_MAREES;NB_MAREES_INF_95;NB_MAREES_SUP_95;JOURS_DE_MER;JOURS_DE_MER_INF_95;JOURS_DE_MER_SUP_95
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;4;2018;LR;10;3.63376543209877;7999.55555555556;314.314814814815;56.45;56.45;56.45;59.2333333333334;59.2333333333334;59.2333333333334
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGE;1;2018;LR;6;3.23333333333333;6291.57142857143;316;8.08333333333333;8.08333333333333;8.08333333333333;8.08333333333333;8.08333333333333;8.08333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGE;2;2018;LR;2;3;6595;227.461538461538;3.75;3.75;3.75;3.75;3.75;3.75
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGE;2;2018;LR;4;3.55;10245.35;316;7.25;7.25;7.25;7.25;7.25;7.25
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGE;2;2018;LR;2;3;5960;316;4;4;4;4.33333333333333;4.33333333333333;4.33333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGE;3;2018;LR;1;3;5600;316;3.83333333333333;3.83333333333333;3.83333333333333;3.83333333333333;3.83333333333333;3.83333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGE;4;2018;LR;5;3.41625;9786.6875;314.6875;6.33333333333333;6.33333333333333;6.33333333333333;6.33333333333333;6.33333333333333;6.33333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGE;4;2018;LR;2;3;6406.42857142857;225;2.75;2.75;2.75;2.75;2.75;2.75
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGO;2;2018;LR;2;3;5886.36363636364;316;9.83333333333333;9.83333333333333;9.83333333333333;10.6666666666667;10.6666666666667;10.6666666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGO;2;2018;LR;4;3;6724.75;236.384615384615;21.8333333333333;21.8333333333333;21.8333333333333;21.8333333333333;21.8333333333333;21.8333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGO;3;2018;LR;2;3;5816;316;10.8333333333333;10.8333333333333;10.8333333333333;10.8333333333333;10.8333333333333;10.8333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGO;4;2018;LR;3;3;6578.64;235.32;11.4166666666667;11.4166666666667;11.4166666666667;11.4166666666667;11.4166666666667;11.4166666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT12;1;2018;LR;2;3.19230769230769;6023.84615384615;316;12.8333333333333;12.8333333333333;12.8333333333333;12.8333333333333;12.8333333333333;12.8333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT12;1;2018;LR;11;3.48095238095238;6819.88888888889;314.333333333333;24.2916666666667;24.2916666666667;24.2916666666667;24.2916666666667;24.2916666666667;24.2916666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT12;2;2018;LR;10;3.48111111111111;7169.93939393939;313.454545454545;33.45;33.45;33.45;35.3166666666666;35.3166666666666;35.3166666666666
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT12;2;2018;LR;1;3;6500;316;3.83333333333333;3.83333333333333;3.83333333333333;3.83333333333333;3.83333333333333;3.83333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT12;2;2018;LR;3;3;6328.75;266.027777777778;15.3333333333333;15.3333333333333;15.3333333333333;15.3333333333333;15.3333333333333;15.3333333333333
SACROIS;MA;Chalut et sennes de fond;VL1824;GMA;Saumaty;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;1;2018;PA;1;3.75;5701;316;31.5;31.5;31.5;31.5;31.5;31.5
SACROIS;MA;Chalut et sennes de fond;VL1824;GMA;Saumaty;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;2;2018;PA;1;3.75;5701;316;28.8333333333333;28.8333333333333;28.8333333333333;28.8333333333333;28.8333333333333;28.8333333333333
SACROIS;MA;Chalut et sennes de fond;VL1824;GMA;Saumaty;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;4;2018;PA;1;3.75;5701;316;24;24;24;25.5;25.5;25.5
SACROIS;MA;Chalut et sennes de fond;VL1824;GMA;Saumaty;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT21;1;2018;PA;1;3.75;5701;316;12.5;12.5;12.5;12.5;12.5;12.5
SACROIS;MA;Chalut et sennes de fond;VL1824;GMA;Saumaty;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT21;2;2018;PA;1;3.75;5701;316;16.3333333333333;16.3333333333333;16.3333333333333;16.3333333333333;16.3333333333333;16.3333333333333
SACROIS;MA;Chalut et sennes de fond;VL1824;GMA;Saumaty;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT21;4;2018;PA;1;3.75;5701;316;22;22;22;23.5;23.5;23.5
SACROIS;MT;Chalut et sennes de fond;VL2440;XMT;Martigues;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD21;2;2018;PA;1;3.75;9500;316;0.5;0.5;0.5;0.5;0.5;0.5
SACROIS;MT;Chalut et sennes de fond;VL2440;XMT;Martigues;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MT21;2;2018;PA;1;3.75;9500;316;0.5;0.5;0.5;0.5;0.5;0.5
SACROIS;MT;Chalut et sennes de fond;VL2440;XMT;Martigues;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;2;2018;PA;1;3.75;9500;316;19;19;19;19;19;19
SACROIS;MT;Chalut et sennes de fond;VL2440;XMT;Martigues;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MD21;4;2018;PA;1;3.75;9500;316;23;23;23;23;23;23
SACROIS;MT;Chalut et sennes de fond;VL2440;XMT;Martigues;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MLGE;2;2018;PA;1;3.75;9500;316;8;8;8;8;8;8
SACROIS;MT;Chalut et sennes de fond;VL2440;XMT;Martigues;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT21;2;2018;PA;1;3.75;9500;316;16;16;16;16;16;16
SACROIS;MT;Chalut et sennes de fond;VL2440;XMT;Martigues;OTB_DEF;Chaluts de fond Ã  panneaux - Poissons dÃ©mersaux;NIV5;MT21;4;2018;PA;1;3.75;9500;316;23;23;23;23;23;23
